                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.71294,                0.87699,                 1.0968,                0.78698,                 0.4418,                0.49549,                0.33608,                 1.3752,                 2.4608,                 1.6551,               0.001585,               0.001585,               0.001585
                     87,                0.69453,                0.86592,                 1.0822,                0.72615,                0.46647,                0.51391,                0.33574,                 1.4341,                 2.4791,                  1.664,               0.001486,               0.001486,               0.001486
                     88,                0.76978,                0.94274,                 1.1404,                0.76581,                0.46066,                0.52326,                0.34867,                 1.4801,                 2.4566,                 1.6921,               0.001387,               0.001387,               0.001387
                     89,                0.70379,                0.85427,                 1.0892,                0.79903,                0.45617,                0.60709,                0.34778,                 1.5245,                 2.4658,                 1.7175,               0.001288,               0.001288,               0.001288
                     90,                0.59098,                 0.6268,                 1.0606,                0.68755,                0.47117,                0.58841,                0.36231,                 1.5552,                 2.4235,                 1.7423,               0.001189,               0.001189,               0.001189
                     91,                0.57444,                0.60313,                 1.0234,                0.76994,                 0.4389,                0.57596,                0.35809,                 1.5417,                 2.4594,                 1.7231,                0.00109,                0.00109,                0.00109
                     92,                0.72983,                0.73378,                 1.1676,                0.69354,                0.73668,                0.75641,                0.36419,                 1.5832,                 2.1736,                 1.8106,                   0.01,                   0.01,                   0.01
                     93,                0.75344,                0.83496,                 1.1313,                0.59063,                0.67204,                0.71892,                0.42762,                 1.7193,                 2.4157,                 1.9682,               0.009901,               0.009901,               0.009901
                     94,                0.92135,                 1.0841,                 1.2643,                0.63208,                0.62275,                0.68027,                0.42262,                 1.6516,                  2.567,                 1.9356,               0.009802,               0.009802,               0.009802
                     95,                0.97776,                 1.2093,                 1.2863,                0.69667,                0.50537,                0.46699,                0.25181,                 1.7068,                  2.568,                 1.9593,               0.009703,               0.009703,               0.009703
                     96,                0.91792,                 1.1414,                   1.24,                0.65847,                0.48157,                0.41726,                0.23392,                 1.6565,                 2.4719,                 1.9269,               0.009604,               0.009604,               0.009604
                     97,                0.97594,                 1.1218,                 1.3166,                 0.7067,                0.69514,                0.70193,                 0.3957,                 1.7209,                 2.0671,                 1.9988,               0.009505,               0.009505,               0.009505
                     98,                 0.9665,                 1.0713,                  1.268,                0.73508,                0.60762,                0.67256,                0.41853,                 1.6899,                 2.5386,                 2.0126,               0.009406,               0.009406,               0.009406
                     99,                0.97793,                 1.1959,                 1.3301,                0.66879,                 0.5852,                0.62957,                0.33195,                  1.852,                 2.7615,                 2.1148,               0.009307,               0.009307,               0.009307
